Ticker;Date;Type;Amount;Price
AFRY.ST;2025-02-18;Buy;50;198.7
AFRY.ST;2025-05-30;Sell;50;169.6
TRUE-B.ST;2025-02-18;Buy;125;81.1
TRUE-B.ST;2025-05-30;Sell;125;64.7
BONEX.ST;2025-02-18;Buy;19;346.6
BONEX.ST;2025-05-30;Sell;19;254.2
SPOT;2025-02-18;Buy;1;630.56
SPOT;2025-05-30;Sell;1;665.14
PDX.ST;2025-02-18;Buy;50;226.5
PDX.ST;2025-03-12;Sell;50;204
MSFT;2025-02-18;Buy;1;409.64
MSFT;2025-03-12;Sell;1;383.27
CAMX.ST;2025-02-18;Buy;8;646
CAMX.ST;2025-03-12;Sell;8;582
VOLV-B.ST;2025-02-18;Buy;30;336
VOLV-B.ST;2025-03-12;Buy;15;315.7
CLAS-B.ST;2025-02-18;Buy;20;253.6
CLAS-B.ST;2025-03-12;Buy;20;218.2
NDA-SE.ST;2025-02-18;Buy;70;136.95
AIR.PA;2025-02-18;Buy;5;173
ASML.AS;2025-03-12;Buy;1;645.5
SKA-B.ST;2025-02-18;Buy;39;256.7
STORY-B.ST;2025-03-12;Buy;60;86
ORK.OL;2025-05-30;Buy;100;108.9
INVE-B.ST;2025-02-18;Buy;31;325.75
INVE-B.ST;2025-03-12;Buy;14;305.5
DNB.OL;2025-02-18;Buy;43;243.9
NEON;2025-05-30;Buy;100;4.095
MC.PA;2025-05-30;Buy;2;478.25
REJL-B.ST;2025-03-12;Buy;60;165
BRK-B;2025-02-18;Buy;2;482.82
NIBE-B.ST;2025-07-08;Buy;250;42.96
TELIA.ST;2025-07-08;Buy;300;33.59
FLAT-B.ST;2025-07-08;Buy;500;20.6
REJL-B.ST;2025-07-08;Sell;60;198.8
STORY-B.ST;2025-07-09;Sell;60;97.75
ORK.OL;2025-07-08;Sell;100;108.9
TELIA.ST;2025-08-19;Sell;300;35.34
MC.PA;2025-08-19;Sell;2;489.9
NEON;2025-08-19;Sell;40;21.915
SYNSAM.ST;2025-08-19;Buy;190;55.5
UN0.DE;2025-08-19;Buy;20;37.55
SEB-A.ST;2025-09-16;Buy;60;180.4
EQT.ST;2025-09-16;Buy;30;337
NYF.ST;2025-09-16;Buy;60;81.8
KLAR;2025-09-16;Buy;12;45.42
FLAT-B.ST;2025-09-16;Buy;230;23
SYNSAM.ST;2025-09-16;Buy;80;61.2
NEON;2025-09-16;Sell;60;4.095
NIBE-B.ST;2025-09-16;Sell;250;35.73
SKA-B.ST;2025-09-16;Sell;20;236.6
NDA-SE.ST;2025-09-16;Sell;70;150.2
CLAS-B.ST;2025-10-22;Sell;40;346.2
SKA-B.ST;2025-10-22;Sell;19;260.1
INVE-B.ST;2025-10-22;Sell;45;312.05
DNB.OL;2025-10-22;Sell;43;259.6
BRK-B;2025-10-22;Sell;2;491.81
KLAR;2025-10-22;Sell;12;35.68
NYF.ST;2025-10-22;Sell;60;88.05
EQT.ST;2025-10-22;Sell;30;322.2
SEB-A.ST;2025-10-22;Sell;60;181.2
AED.BR;2025-10-22;Buy;25;62.35
GMWKF;2025-10-22;Buy;8;201.05
UN0.DE;2025-10-22;Buy;22;31.4
SYNSAM.ST;2025-10-22;Buy;120;58.8
VOLV-B.ST;2025-10-22;Buy;30;256.4
AIR.PA;2025-10-22;Buy;3;205.8
ASML.AS;2025-10-22;Buy;1;894.4
FLAT-B.ST;2025-10-22;Buy;400;20.05
UN0.DE;2025-11-19;Sell;42;34.1
FLAT-B.ST;2025-11-19;Sell;1130;16.28
PGHN.SW;2025-11-19;Buy;2;954
GLD;2025-11-19;Buy;3;383.12
GLD;2025-12-22;Sell;3;399.02
PGHN.SW;2025-12-22;Sell;2;966.6
ASML.AS;2025-12-22;Sell;2;901.6
CLAS-B.ST;2025-12-22;Buy;80;295.2
AIR.PA;2025-12-22;Sell;8;195.84
VOLV-B.ST;2025-12-22;Sell;75;294.2
CART;2025-12-22;Buy;60;45.02
VSCO;2025-12-22;Buy;45;56.7
BTC;2025-12-22;Buy;70;39.08
BTC;2026-01-22;Sell;70;39.76
VSCO;2026-01-22;Sell;45;65.17
CART;2026-01-22;Sell;60;39.285
GMWKF;2026-01-22;Sell;8;252
INVE-B.ST;2026-01-22;Buy;90;339.5
FLAT-B.ST;2026-01-22;Buy;1000;13.52
LUND-B.ST;2026-01-22;Buy;50;518
DGE.L;2026-01-22;Buy;100;1695
INVE-B.ST;2026-02-18;Sell;20;367.75
PLTR;2026-02-18;Buy;15;135.38
VEI.OL;2026-02-18;Buy;120;190.6
SKF-B.ST;2026-02-18;Buy;90;255.6
FLAT-B.ST;2026-02-18;Sell;1000;11.1
AED.BR;2026-02-18;Sell;25;79.25
TSLA;2026-02-18;Short;3;411.32
